539,Büroangestellte*r
540,Büromaschinenbediener*in
541,Bauingenieur*in
542,Unternehmensforschungsanalyst*in
543,Augenlabortechniker*in
544,Augenmedizintechniker*in
545,Optiker*in
546,Optometrist*in
547,Kieferchirurg*in
548,Angestellte*r für Auftragserfassung
549,Kieferorthopäde/Kieferorthopädin
550,Orthopädie-/Prothesetechniker*in
551,Kleinmotormechaniker*in
552,Bediener*in einer Verpackungsmaschine
553,Handpacker*in|
554,Bauanstreicher*in
555,Anstreicher*in von Beförderungsmitteln
556,Fachkraft für Anstreichen/Beschichten/Dekorieren
557,Bediener*in einer Papierwarenmaschine
558,Tapezierer*in
559,Rechtsanwaltsgehilfe/-gehilfin
560,Mitarbeiter*in des Ordnungsamts zur Überwachung des ruhenden Verkehrs
561,Parkplatzwächter*in
562,Teileverkäufer*in
563,Metall-/Kunststoffmodellmacher*in
564,Holzmodelltischler*in
565,Bediener*in von Straßenbaugeräten
566,Lohnbuchhalter*in
567,Kinderarzt/-ärztin
568,Hilfskraft für die Körperpflege
569,Persönliche*r Finanzberater*in
570,Schädlingsbekämpfer*in
571,Pestizidanwender*in
572,Erdölingenieur*in
573,Raffineriebetreiber*in
574,Apotheker*in
575,Apothekenhelfer*in
576,Pharmazeutisch-technische/r Assistent*in
577,Dozent*in für Philosophie/Religion in der postsekundären Bildung
578,Phlebologe/Phlebologin
579,Fotograf*in
580,Naturwissenschaftler*in
581,Helfer*in von Physiotherapeut*innen
582,Assistent*in von Physiotherapeut*innen
583,Physiotherapeut*in
584,Helfer*in von Ärzt*innen
585,Arzt/Ärztin
586,Physiker*in
587,Dozent*in für Physik in der postsekundären Bildung
588,Rammhammerbediener*in
589,Rohrverleger*in
590,Anlagenbetreiber*in
591,Stuckateur*in
592,Bediener*in einer Plattierungs-/Beschichtungsmaschine
593,Klempner*in
594,Podologe/Podologin
595,Polizist*in
596,"Disponent*in bei Polizei, Feuerwehr und Rettungsdienst"
597,Dozent*in für Politikwissenschaft in der postsekundären Bildung
598,Politikwissenschaftler*in
599,Postbeamte*r
600,Briefträger*in
601,Briefsortierer*in
602,Leiter*in einer Poststelle
603,Metallgießer*in
604,Stromnetzleitwart*in
605,Kraftwerkbetreiber*in
606,Druckvorstufentechniker*in
607,Vorschullehrer*in
608,Textilpresser*in
609,Buchbinder*in
610,Bediener*in einer Druckerpresse
611,Privatdetektiv*in
612,Bewährungshelfer*in
613,Beschaffungssachbearbeiter*in
614,Produzent*in/Regisseur*in
615,Produktionsfachkraft
616,Sachbearbeiter*in für die Produktion
617,Korrekturleser*in
618,Hausverwalter*in
619,Fachkraft bei einem Sicherheitsdienst
620,Hilfskraft in der Psychiatrie
621,Techniker*in in der Psychiatrie
622,Psychiater*in
623,Psychologe/Psychologin
624,Dozent*in für Psychologie in der postsekundären Bildung
625,Sprecher*in Beschallungsanlage
626,Manager*in für Öffentlichkeitsarbeit und Fundraising
627,Fachmann/-frau für Öffentlichkeitsarbeit
628,Pumpenbediener*in
629,Einkäufer*in
630,Leiter*in Beschaffung
631,Strahlungstherapeut*in
632,Radio- und Fernsehsprecher*in
633,Funker*in
634,Installateur*in/Instandsetzer*in von Funkgeräten und Mobiltelefonen
635,Radiologietechnologe/-technologin
636,Instandsetzer*in von Schienenfahrzeugen
637,Zugführer*in im Bahnbetriebswerk
638,Bediener*in von Anlagen und Geräten für die Instandhaltung von Schienenfahrzeugen
639,Weichenwärter*in/Signalwärter*in/Stellwerkswärter*in
640,Eisenbahnschaffner*in
641,Makler*in
642,Immobilienmakler*in
643,Auskunftsbeamte*r
644,Dozent*in für Freizeit-Fitnessstudien in der postsekundären Bildung
645,Freizeitgestalter*in
646,Entspannungstherapeut*in
647,Wartungstechniker*in für Freizeitfahrzeuge
648,Instandsetzer*in feuerfester Werkstoffe
649,Müllmann/-frau
650,Examinierte*r Krankenpfleger*in
651,Rehaberater*in
652,Fachkraft für Betonbewehrungen
653,Reporter*in
654,Reisebüromitarbeiter*in
655,Wohnberater*in
656,Atemtherapeut*in
657,Atemtherapie-Techniker*in
658,Verkäufer*in im Einzelhandel
659,Bohrinselarbeiter*in
660,Steinbrecher*in
661,Bediener*in einer Walzmaschine
662,Bediener*in von Verschraubungsmaschinen im Untertagebau
663,Dachdecker*in
664,Bediener*in eines Drehbohrgeräts
665,Unqualifizierte*r Bohrinselarbeiter*in
666,Seemann/-frau/Schiffsöler*in
667,Vertriebsingenieur*in
668,Vertriebsleiter*in
669,Außendienstmitarbeiter*in
670,Außendienstmitarbeiter*in für die Fertigung
671,Technische*r Außendienstmitarbeiter*in
672,Bediener*in einer Sägemaschine
673,Sekundarschullehrer*innen
674,Verwaltungsassistent*in
675,Aktienmakler*in
676,Installateur*in von Sicherheitssystemen
677,Sicherheitsbedienstete*r
678,Segmentplattenleger*in
679,Dozent*in für Selbstverwirklichungskurse
680,Halbleiterverarbeiter*in
681,Bediener*in einer Separier-/Klärmaschine
682,Wartungskraft für Jauchegruben und Abwasserrohre
683,Bediener*in von Geräten zur Öl- und Gasgewinnung oder Bergbaugeräten
684,Bühnenbildner*in
685,Näher*in
686,Bediener*in einer Nähmaschine
687,Einshampoonierer*in
688,Blechmetallbearbeiter*in
689,Schiffsingenieur*in
690,Sachbearbeiter*in Wareneingang/Warenausgang
691,Schuh-/Lederarbeiter*in
692,Bediener*in einer Schuhmaschine
693,Instandsetzer*in von Weichen- und Signalanlagen
694,Spezialist*in für Hautpflege
695,Fleischabpacker*in
696,Spielautomatenaufseher*in
697,Leiter*in Sozial- und Gemeindedienst
698,Assistent*in Sozial- und Humandienst
699,Wissenschaftliche*r Assistent*in in Sozialwissenschaften
700,Sozialwissenschaftler*in
701,Dozent*in für Sozialarbeit in der postsekundären Bildung
702,Soziologe/Soziologin
703,Dozent*in für Soziologie in der postsekundären Bildung
704,Entwickler*in von Anwendungssoftware
705,Entwickler*in von Systemsoftware
706,Bodenkundler*in und Pflanzenbauwissenschaftler*in
707,Installateur*in von Photovoltaikanlagen
708,Tontechniker*in
709,Förderschullehrer*in
710,Förderschullehrer*in an der Grundschule
711,Förderschullehrer*in an der Mittelschule
712,Förderschullehrer*in an der Sekundarschule
713,Sprachpathologe/Sprachpathologin
714,Kesselwärter*in
715,Statistikassistent*in
716,Statistiker*in
717,Lagerverwalter*in
718,Steinmetz*in
719,Stahlarbeiter*in
720,Baumetallverarbeiter*in
721,Berater*in bei Drogensucht und Verhaltensstörungen
722,U-Bahn-/Straßenbahnführer*in
723,Chirurg*in
724,Chirurgische*r Technologe/Technologin
725,Meinungsforscher*in
726,Vermessungstechniker*in|
727,Vermesser*in
728,Telefonist*in
729,Schneider*in
730,Tanklastwagen-/Lkw-/Schiffsbelader*in
731,Taper*in
732,Steuereinzieher*in
733,Steuerberater*in
734,Taxifahrer*in/Chauffeur*in
735,Hilfslehrer*in
736,Koordinator*in von Montageteams
737,Technische*r Redakteur*in
738,Installateur*in/Instandsetzer*in von Telekommunikationsanlagen
739,Installateur*in/Instandsetzer*in von Telekommunikationsleitungen
740,Telefonverkäufer*in
741,Telefonist*in
742,Kassierer*in
743,Terrazzofertiger*in
744,Bediener*in einer Textilbleich-/Textilfärbemaschine
745,Bediener*in einer Textilschneidemaschine
746,Bediener*in einer Textilstrick-/Textilwebemaschine
747,Bediener*in einer Textilwickelmaschine
748,Fliesen- und Marmorleger*in
749,Monteur*in von Zeitmessgeräten
750,Bediener*in einer Reifenaufbaumaschine
751,Reifeninstandsetzer*in/-wechsler*in
752,Prüfer*in von Eigentumstiteln
